Mexico Itsmo
30.31
28.19
27.80
29.06
28.95
29.44
29.63
29.50
28.75
28.65
28.25
27.48
27.80
28.69
29.25
28.88
28.95
28.50
27.90
28.00
28.04
27.95
27.53
26.88
26.95
27.75
28.06
27.60
26.38
25.35
25.70
26.66
26.98
27.20
28.56
25.45
20.88
14.00
12.75
12.45
13.38
11.50
9.50
13.13
13.00
13.25
13.44
14.90
16.88
16.38
17.30
17.44
18.25
18.70
19.81
19.35
18.20
18.47
17.57
15.69
15.40
15.75
14.20
15.84
15.81
14.48
14.29
13.99
12.94
11.78
11.95
14.08
15.65
16.15
17.62
19.55
18.57
18.13
18.01
16.69
17.40
17.79
18.19
19.43
20.29
19.39
18.29
15.33
15.35
13.68
16.09
25.98
32.21
33.61
29.99
25.18
21.85
16.46
16.88
17.84
18.15
17.44
18.48
18.75
19.21
20.34
19.23
16.46
15.56
15.93
16.11
17.59
18.61
20.16
19.43
18.88
19.29
19.39
18.31
17.22
16.47
17.59
17.92
17.83
17.65
16.64
15.48
15.31
14.79
15.39
13.92
12.10
12.87
13.08
12.98
14.70
16.12
16.69
17.32
16.61
15.59
16.00
16.63
15.55
16.38
16.78
16.83
18.44
18.27
16.97
15.65
16.05
16.22
15.64
16.30
17.40
17.59
18.00
19.93
21.32
19.68
18.60
19.61
20.55
22.46
23.53
22.11
23.78
23.21
20.29
18.35
17.32
18.29
16.53
17.28
17.71
17.77
19.04
17.92
16.41
14.53
13.68
12.66
12.51
12.84
11.37
11.89
11.42
13.03
12.06
10.49
9.01
10.21
9.51
12.30
15.10
15.40
15.48
18.23
19.58
22.10
20.96
23.45
24.79
24.97
27.62
27.51
23.31
26.95
29.45
27.74
28.75
31.19
29.73
31.47
24.40
24.80
24.64
22.60
22.86
24.62
24.25
22.67
23.86
23.49
18.94
16.61
16.73
17.42
18.74
22.54
24.72
24.80
23.57
25.18
26.18
27.33
27.08
23.63
27.82
30.74
31.90
29.96
24.99
25.61
27.48
27.79
29.08
26.18
28.38
28.24
29.71
31.78
30.64
33.08
32.76
36.95
34.85
37.41
40.88
41.47
47.40
41.10
35.31
38.89
40.08
47.52
47.13
45.05
51.48
53.85
59.66
59.92
55.64
51.57
52.77
58.54
53.87
56.85
64.51
64.82
63.88
68.30
67.47
57.18
52.46
53.34
56.82
48.90
53.48
56.79
60.60
60.60
65.40
71.11
66.60
72.65
78.79
88.59
87.53
88.07
90.28
99.79
106.60
120.43
129.90
130.98
112.63
100.15
71.96
49.77
37.27
40.15
39.39
46.98
50.38
58.51
68.52
63.70
71.04
67.16
72.91
75.99
73.05
76.10
74.06
79.00
83.42
73.73
73.41
74.30
75.50
74.16
79.58
82.03
88.17
90.46
94.56
107.97
117.90
109.62
106.30
108.62
101.06
104.05
105.18
111.54
110.27
110.02
114.42
120.46
116.04
107.20
93.16
99.63
107.22
107.90
104.39
99.37
99.03
106.48
113.44
109.86
105.48
105.48
104.08
109.18
109.09
106.80
99.84
93.83
98.39
96.35
100.47
98.87
101.29
102.59
106.47
102.20
96.78
93.70
85.40
79.04
59.74
45.52
52.68
51.41
59.10
63.78
63.48
55.62
46.56
47.71
46.90
43.29
37.68
30.03
28.68
35.45
38.14
44.76
47.51
45.07
44.22
44.55
49.91
45.64
53.81
54.98
56.09
52.26
53.81
51.85
48.21
50.75
52.92
55.20
56.08
61.35
62.57
67.57
64.83
65.40
68.10
73.03
70.92
69.63
67.05
74.44
80.03
65.43
55.58
58.13
63.81
66.53
70.34
69.04
62.95
63.58
58.71
62.07
59.13
61.69
60.28
